"id","district_id","case_id","date","total"
35,"3204",2,"2020-08-05",274
170,"3216",5,"2020-08-05",0
181,"3217",5,"2020-08-05",0
192,"3218",5,"2020-08-05",0
203,"3271",5,"2020-08-05",0
214,"3272",5,"2020-08-05",0
225,"3273",5,"2020-08-05",0
236,"3274",5,"2020-08-05",0
247,"3275",5,"2020-08-05",0
258,"3276",5,"2020-08-05",0
269,"3277",5,"2020-08-05",0
280,"3278",5,"2020-08-05",0
291,"3279",5,"2020-08-05",0
297,"3279",11,"2020-08-05",0
286,"3278",11,"2020-08-05",0
275,"3277",11,"2020-08-05",0
264,"3276",11,"2020-08-05",0
253,"3275",11,"2020-08-05",0
242,"3274",11,"2020-08-05",0
231,"3273",11,"2020-08-05",0
220,"3272",11,"2020-08-05",0
209,"3271",11,"2020-08-05",0
198,"3218",11,"2020-08-05",0
187,"3217",11,"2020-08-05",0
176,"3216",11,"2020-08-05",0
165,"3215",11,"2020-08-05",0
154,"3214",11,"2020-08-05",0
143,"3213",11,"2020-08-05",0
132,"3212",11,"2020-08-05",0
121,"3211",11,"2020-08-05",0
110,"3210",11,"2020-08-05",0
99,"3209",11,"2020-08-05",0
88,"3208",11,"2020-08-05",0
77,"3207",11,"2020-08-05",0
66,"3206",11,"2020-08-05",0
55,"3205",11,"2020-08-05",0
44,"3204",11,"2020-08-05",0
33,"3203",11,"2020-08-05",0
22,"3202",11,"2020-08-05",0
11,"3201",11,"2020-08-05",0
150,"3214",7,"2020-08-05",0
139,"3213",7,"2020-08-05",0
128,"3212",7,"2020-08-05",0
117,"3211",7,"2020-08-05",0
106,"3210",7,"2020-08-05",0
95,"3209",7,"2020-08-05",0
84,"3208",7,"2020-08-05",0
73,"3207",7,"2020-08-05",3
62,"3206",7,"2020-08-05",0
51,"3205",7,"2020-08-05",0
40,"3204",7,"2020-08-05",0
29,"3203",7,"2020-08-05",0
18,"3202",7,"2020-08-05",0
7,"3201",7,"2020-08-05",0
292,"3279",6,"2020-08-05",0
281,"3278",6,"2020-08-05",0
270,"3277",6,"2020-08-05",0
259,"3276",6,"2020-08-05",0
248,"3275",6,"2020-08-05",0
237,"3274",6,"2020-08-05",0
226,"3273",6,"2020-08-05",0
215,"3272",6,"2020-08-05",0
204,"3271",6,"2020-08-05",0
193,"3218",6,"2020-08-05",0
182,"3217",6,"2020-08-05",0
171,"3216",6,"2020-08-05",1
160,"3215",6,"2020-08-05",0
149,"3214",6,"2020-08-05",0
138,"3213",6,"2020-08-05",0
127,"3212",6,"2020-08-05",0
116,"3211",6,"2020-08-05",0
105,"3210",6,"2020-08-05",0
94,"3209",6,"2020-08-05",0
83,"3208",6,"2020-08-05",0
72,"3207",6,"2020-08-05",0
61,"3206",6,"2020-08-05",0
50,"3205",6,"2020-08-05",0
6,"3201",6,"2020-08-05",0
17,"3202",6,"2020-08-05",0
28,"3203",6,"2020-08-05",0
39,"3204",6,"2020-08-05",0
2,"3201",2,"2020-08-05",0
13,"3202",2,"2020-08-05",332
24,"3203",2,"2020-08-05",0
159,"3215",5,"2020-08-05",0
46,"3205",2,"2020-08-05",2250
57,"3206",2,"2020-08-05",0
68,"3207",2,"2020-08-05",1292
79,"3208",2,"2020-08-05",467
90,"3209",2,"2020-08-05",255
101,"3210",2,"2020-08-05",160
112,"3211",2,"2020-08-05",125
123,"3212",2,"2020-08-05",200
134,"3213",2,"2020-08-05",405
145,"3214",2,"2020-08-05",493
156,"3215",2,"2020-08-05",1319
167,"3216",2,"2020-08-05",1992
178,"3217",2,"2020-08-05",462
189,"3218",2,"2020-08-05",537
200,"3271",2,"2020-08-05",824
211,"3272",2,"2020-08-05",1445
222,"3273",2,"2020-08-05",3537
233,"3274",2,"2020-08-05",188
244,"3275",2,"2020-08-05",0
255,"3276",2,"2020-08-05",2745
266,"3277",2,"2020-08-05",3608
277,"3278",2,"2020-08-05",685
288,"3279",2,"2020-08-05",187
1,"3201",1,"2020-08-05",0
296,"3279",10,"2020-08-05",111
285,"3278",10,"2020-08-05",0
274,"3277",10,"2020-08-05",526
263,"3276",10,"2020-08-05",5652
252,"3275",10,"2020-08-05",0
241,"3274",10,"2020-08-05",367
230,"3273",10,"2020-08-05",0
219,"3272",10,"2020-08-05",329
208,"3271",10,"2020-08-05",2231
197,"3218",10,"2020-08-05",573
186,"3217",10,"2020-08-05",773
175,"3216",10,"2020-08-05",1535
164,"3215",10,"2020-08-05",6075
153,"3214",10,"2020-08-05",686
142,"3213",10,"2020-08-05",5787
131,"3212",10,"2020-08-05",1293
120,"3211",10,"2020-08-05",52
109,"3210",10,"2020-08-05",660
98,"3209",10,"2020-08-05",295
87,"3208",10,"2020-08-05",307
76,"3207",10,"2020-08-05",0
65,"3206",10,"2020-08-05",0
54,"3205",10,"2020-08-05",244
43,"3204",10,"2020-08-05",2179
32,"3203",10,"2020-08-05",0
21,"3202",10,"2020-08-05",4714
10,"3201",10,"2020-08-05",0
3,"3201",3,"2020-08-05",0
14,"3202",3,"2020-08-05",0
25,"3203",3,"2020-08-05",0
36,"3204",3,"2020-08-05",0
47,"3205",3,"2020-08-05",0
58,"3206",3,"2020-08-05",0
69,"3207",3,"2020-08-05",0
80,"3208",3,"2020-08-05",0
91,"3209",3,"2020-08-05",0
102,"3210",3,"2020-08-05",0
113,"3211",3,"2020-08-05",0
124,"3212",3,"2020-08-05",0
135,"3213",3,"2020-08-05",0
146,"3214",3,"2020-08-05",0
157,"3215",3,"2020-08-05",0
168,"3216",3,"2020-08-05",0
179,"3217",3,"2020-08-05",0
190,"3218",3,"2020-08-05",0
201,"3271",3,"2020-08-05",0
212,"3272",3,"2020-08-05",0
223,"3273",3,"2020-08-05",0
234,"3274",3,"2020-08-05",0
245,"3275",3,"2020-08-05",0
256,"3276",3,"2020-08-05",0
267,"3277",3,"2020-08-05",0
278,"3278",3,"2020-08-05",0
289,"3279",3,"2020-08-05",0
12,"3202",1,"2020-08-05",0
23,"3203",1,"2020-08-05",0
34,"3204",1,"2020-08-05",0
45,"3205",1,"2020-08-05",132
56,"3206",1,"2020-08-05",0
67,"3207",1,"2020-08-05",3
78,"3208",1,"2020-08-05",4
89,"3209",1,"2020-08-05",187
100,"3210",1,"2020-08-05",260
111,"3211",1,"2020-08-05",0
122,"3212",1,"2020-08-05",35
133,"3213",1,"2020-08-05",50
144,"3214",1,"2020-08-05",39
155,"3215",1,"2020-08-05",118
166,"3216",1,"2020-08-05",135
177,"3217",1,"2020-08-05",72
188,"3218",1,"2020-08-05",0
199,"3271",1,"2020-08-05",68
210,"3272",1,"2020-08-05",0
221,"3273",1,"2020-08-05",16
232,"3274",1,"2020-08-05",10
243,"3275",1,"2020-08-05",0
254,"3276",1,"2020-08-05",361
265,"3277",1,"2020-08-05",318
276,"3278",1,"2020-08-05",7
287,"3279",1,"2020-08-05",0
295,"3279",9,"2020-08-05",475
284,"3278",9,"2020-08-05",1364
273,"3277",9,"2020-08-05",330
262,"3276",9,"2020-08-05",428
251,"3275",9,"2020-08-05",0
240,"3274",9,"2020-08-05",4
229,"3273",9,"2020-08-05",6780
218,"3272",9,"2020-08-05",2
207,"3271",9,"2020-08-05",61
196,"3218",9,"2020-08-05",0
185,"3217",9,"2020-08-05",3
174,"3216",9,"2020-08-05",4001
163,"3215",9,"2020-08-05",25
152,"3214",9,"2020-08-05",5
141,"3213",9,"2020-08-05",1
130,"3212",9,"2020-08-05",347
119,"3211",9,"2020-08-05",991
108,"3210",9,"2020-08-05",11
97,"3209",9,"2020-08-05",5
86,"3208",9,"2020-08-05",1683
75,"3207",9,"2020-08-05",2075
64,"3206",9,"2020-08-05",0
53,"3205",9,"2020-08-05",2644
42,"3204",9,"2020-08-05",31
31,"3203",9,"2020-08-05",0
20,"3202",9,"2020-08-05",4
9,"3201",9,"2020-08-05",0
294,"3279",8,"2020-08-05",0
283,"3278",8,"2020-08-05",5
272,"3277",8,"2020-08-05",0
4,"3201",4,"2020-08-05",0
15,"3202",4,"2020-08-05",0
26,"3203",4,"2020-08-05",0
37,"3204",4,"2020-08-05",0
48,"3205",4,"2020-08-05",0
59,"3206",4,"2020-08-05",0
70,"3207",4,"2020-08-05",0
81,"3208",4,"2020-08-05",0
92,"3209",4,"2020-08-05",0
103,"3210",4,"2020-08-05",0
114,"3211",4,"2020-08-05",0
125,"3212",4,"2020-08-05",0
136,"3213",4,"2020-08-05",0
147,"3214",4,"2020-08-05",0
158,"3215",4,"2020-08-05",0
169,"3216",4,"2020-08-05",0
180,"3217",4,"2020-08-05",0
191,"3218",4,"2020-08-05",0
202,"3271",4,"2020-08-05",0
213,"3272",4,"2020-08-05",0
224,"3273",4,"2020-08-05",0
235,"3274",4,"2020-08-05",0
246,"3275",4,"2020-08-05",0
257,"3276",4,"2020-08-05",0
268,"3277",4,"2020-08-05",0
279,"3278",4,"2020-08-05",0
290,"3279",4,"2020-08-05",0
261,"3276",8,"2020-08-05",0
250,"3275",8,"2020-08-05",0
239,"3274",8,"2020-08-05",0
228,"3273",8,"2020-08-05",0
217,"3272",8,"2020-08-05",2
206,"3271",8,"2020-08-05",1
195,"3218",8,"2020-08-05",0
184,"3217",8,"2020-08-05",7
173,"3216",8,"2020-08-05",32
162,"3215",8,"2020-08-05",57
151,"3214",8,"2020-08-05",1
140,"3213",8,"2020-08-05",0
129,"3212",8,"2020-08-05",73
118,"3211",8,"2020-08-05",4
107,"3210",8,"2020-08-05",7
96,"3209",8,"2020-08-05",1
85,"3208",8,"2020-08-05",1
74,"3207",8,"2020-08-05",0
63,"3206",8,"2020-08-05",0
52,"3205",8,"2020-08-05",0
41,"3204",8,"2020-08-05",26
30,"3203",8,"2020-08-05",0
19,"3202",8,"2020-08-05",25
8,"3201",8,"2020-08-05",163
293,"3279",7,"2020-08-05",0
282,"3278",7,"2020-08-05",46
271,"3277",7,"2020-08-05",0
260,"3276",7,"2020-08-05",0
249,"3275",7,"2020-08-05",0
238,"3274",7,"2020-08-05",0
227,"3273",7,"2020-08-05",0
216,"3272",7,"2020-08-05",0
205,"3271",7,"2020-08-05",0
194,"3218",7,"2020-08-05",0
183,"3217",7,"2020-08-05",0
172,"3216",7,"2020-08-05",0
161,"3215",7,"2020-08-05",0
5,"3201",5,"2020-08-05",0
16,"3202",5,"2020-08-05",0
27,"3203",5,"2020-08-05",0
38,"3204",5,"2020-08-05",0
49,"3205",5,"2020-08-05",0
60,"3206",5,"2020-08-05",0
71,"3207",5,"2020-08-05",0
82,"3208",5,"2020-08-05",0
93,"3209",5,"2020-08-05",0
104,"3210",5,"2020-08-05",0
115,"3211",5,"2020-08-05",0
126,"3212",5,"2020-08-05",0
137,"3213",5,"2020-08-05",0
148,"3214",5,"2020-08-05",0
502,"3271",7,"2020-08-06",0
491,"3218",7,"2020-08-06",0
480,"3217",7,"2020-08-06",0
469,"3216",7,"2020-08-06",0
458,"3215",7,"2020-08-06",0
447,"3214",7,"2020-08-06",0
436,"3213",7,"2020-08-06",14
425,"3212",7,"2020-08-06",0
414,"3211",7,"2020-08-06",0
403,"3210",7,"2020-08-06",0
392,"3209",7,"2020-08-06",0
381,"3208",7,"2020-08-06",0
370,"3207",7,"2020-08-06",3
302,"3201",5,"2020-08-06",245
313,"3202",5,"2020-08-06",62
324,"3203",5,"2020-08-06",22
335,"3204",5,"2020-08-06",117
346,"3205",5,"2020-08-06",20
357,"3206",5,"2020-08-06",7
368,"3207",5,"2020-08-06",13
379,"3208",5,"2020-08-06",25
390,"3209",5,"2020-08-06",15
401,"3210",5,"2020-08-06",6
412,"3211",5,"2020-08-06",18
423,"3212",5,"2020-08-06",32
434,"3213",5,"2020-08-06",51
445,"3214",5,"2020-08-06",33
456,"3215",5,"2020-08-06",42
467,"3216",5,"2020-08-06",230
478,"3217",5,"2020-08-06",76
489,"3218",5,"2020-08-06",17
500,"3271",5,"2020-08-06",198
511,"3272",5,"2020-08-06",46
522,"3273",5,"2020-08-06",388
533,"3274",5,"2020-08-06",28
544,"3275",5,"2020-08-06",518
555,"3276",5,"2020-08-06",905
566,"3277",5,"2020-08-06",136
577,"3278",5,"2020-08-06",22
588,"3279",5,"2020-08-06",9
359,"3206",7,"2020-08-06",0
348,"3205",7,"2020-08-06",0
337,"3204",7,"2020-08-06",0
326,"3203",7,"2020-08-06",0
315,"3202",7,"2020-08-06",0
304,"3201",7,"2020-08-06",0
590,"3279",7,"2020-08-06",0
300,"3201",3,"2020-08-06",0
311,"3202",3,"2020-08-06",0
322,"3203",3,"2020-08-06",0
333,"3204",3,"2020-08-06",0
344,"3205",3,"2020-08-06",0
355,"3206",3,"2020-08-06",0
366,"3207",3,"2020-08-06",0
377,"3208",3,"2020-08-06",0
388,"3209",3,"2020-08-06",0
399,"3210",3,"2020-08-06",0
410,"3211",3,"2020-08-06",0
421,"3212",3,"2020-08-06",0
432,"3213",3,"2020-08-06",0
443,"3214",3,"2020-08-06",0
454,"3215",3,"2020-08-06",0
465,"3216",3,"2020-08-06",0
476,"3217",3,"2020-08-06",0
487,"3218",3,"2020-08-06",0
498,"3271",3,"2020-08-06",0
509,"3272",3,"2020-08-06",0
520,"3273",3,"2020-08-06",0
531,"3274",3,"2020-08-06",0
542,"3275",3,"2020-08-06",0
553,"3276",3,"2020-08-06",0
564,"3277",3,"2020-08-06",0
575,"3278",3,"2020-08-06",0
586,"3279",3,"2020-08-06",0
579,"3278",7,"2020-08-06",46
568,"3277",7,"2020-08-06",0
301,"3201",4,"2020-08-06",10
312,"3202",4,"2020-08-06",0
323,"3203",4,"2020-08-06",2
334,"3204",4,"2020-08-06",6
345,"3205",4,"2020-08-06",3
589,"3279",6,"2020-08-06",0
578,"3278",6,"2020-08-06",0
567,"3277",6,"2020-08-06",0
556,"3276",6,"2020-08-06",25
545,"3275",6,"2020-08-06",9
534,"3274",6,"2020-08-06",0
523,"3273",6,"2020-08-06",0
512,"3272",6,"2020-08-06",0
501,"3271",6,"2020-08-06",0
490,"3218",6,"2020-08-06",0
479,"3217",6,"2020-08-06",0
468,"3216",6,"2020-08-06",1
457,"3215",6,"2020-08-06",0
446,"3214",6,"2020-08-06",0
435,"3213",6,"2020-08-06",0
424,"3212",6,"2020-08-06",0
413,"3211",6,"2020-08-06",0
402,"3210",6,"2020-08-06",0
391,"3209",6,"2020-08-06",0
380,"3208",6,"2020-08-06",0
369,"3207",6,"2020-08-06",0
358,"3206",6,"2020-08-06",0
347,"3205",6,"2020-08-06",0
336,"3204",6,"2020-08-06",0
325,"3203",6,"2020-08-06",0
314,"3202",6,"2020-08-06",0
303,"3201",6,"2020-08-06",0
356,"3206",4,"2020-08-06",1
367,"3207",4,"2020-08-06",0
378,"3208",4,"2020-08-06",2
389,"3209",4,"2020-08-06",3
400,"3210",4,"2020-08-06",1
411,"3211",4,"2020-08-06",0
422,"3212",4,"2020-08-06",4
433,"3213",4,"2020-08-06",2
444,"3214",4,"2020-08-06",1
455,"3215",4,"2020-08-06",1
466,"3216",4,"2020-08-06",29
477,"3217",4,"2020-08-06",3
488,"3218",4,"2020-08-06",0
499,"3271",4,"2020-08-06",18
510,"3272",4,"2020-08-06",0
521,"3273",4,"2020-08-06",44
532,"3274",4,"2020-08-06",2
543,"3275",4,"2020-08-06",33
554,"3276",4,"2020-08-06",41
298,"3201",1,"2020-08-06",0
372,"3207",9,"2020-08-06",0
361,"3206",9,"2020-08-06",0
350,"3205",9,"2020-08-06",0
339,"3204",9,"2020-08-06",0
328,"3203",9,"2020-08-06",170
317,"3202",9,"2020-08-06",0
306,"3201",9,"2020-08-06",0
593,"3279",10,"2020-08-06",472
582,"3278",10,"2020-08-06",1364
571,"3277",10,"2020-08-06",0
560,"3276",10,"2020-08-06",30
549,"3275",10,"2020-08-06",1600
538,"3274",10,"2020-08-06",0
527,"3273",10,"2020-08-06",6669
516,"3272",10,"2020-08-06",0
505,"3271",10,"2020-08-06",0
494,"3218",10,"2020-08-06",0
565,"3277",4,"2020-08-06",2
576,"3278",4,"2020-08-06",2
587,"3279",4,"2020-08-06",1
594,"3279",11,"2020-08-06",20
583,"3278",11,"2020-08-06",8
572,"3277",11,"2020-08-06",19
561,"3276",11,"2020-08-06",118
550,"3275",11,"2020-08-06",198
539,"3274",11,"2020-08-06",6
528,"3273",11,"2020-08-06",154
517,"3272",11,"2020-08-06",2
506,"3271",11,"2020-08-06",145
495,"3218",11,"2020-08-06",10
484,"3217",11,"2020-08-06",52
473,"3216",11,"2020-08-06",249
462,"3215",11,"2020-08-06",62
451,"3214",11,"2020-08-06",33
440,"3213",11,"2020-08-06",28
429,"3212",11,"2020-08-06",64
418,"3211",11,"2020-08-06",17
407,"3210",11,"2020-08-06",17
396,"3209",11,"2020-08-06",54
385,"3208",11,"2020-08-06",28
374,"3207",11,"2020-08-06",20
363,"3206",11,"2020-08-06",5
352,"3205",11,"2020-08-06",6
341,"3204",11,"2020-08-06",117
299,"3201",2,"2020-08-06",0
310,"3202",2,"2020-08-06",0
321,"3203",2,"2020-08-06",25
332,"3204",2,"2020-08-06",0
343,"3205",2,"2020-08-06",0
354,"3206",2,"2020-08-06",49
365,"3207",2,"2020-08-06",0
376,"3208",2,"2020-08-06",0
387,"3209",2,"2020-08-06",0
398,"3210",2,"2020-08-06",0
409,"3211",2,"2020-08-06",0
420,"3212",2,"2020-08-06",0
431,"3213",2,"2020-08-06",31
442,"3214",2,"2020-08-06",0
453,"3215",2,"2020-08-06",13
464,"3216",2,"2020-08-06",26
475,"3217",2,"2020-08-06",0
486,"3218",2,"2020-08-06",0
497,"3271",2,"2020-08-06",0
508,"3272",2,"2020-08-06",0
519,"3273",2,"2020-08-06",0
530,"3274",2,"2020-08-06",0
541,"3275",2,"2020-08-06",0
552,"3276",2,"2020-08-06",0
563,"3277",2,"2020-08-06",0
574,"3278",2,"2020-08-06",0
585,"3279",2,"2020-08-06",0
591,"3279",8,"2020-08-06",0
309,"3202",1,"2020-08-06",0
320,"3203",1,"2020-08-06",79
331,"3204",1,"2020-08-06",0
342,"3205",1,"2020-08-06",0
353,"3206",1,"2020-08-06",0
364,"3207",1,"2020-08-06",0
375,"3208",1,"2020-08-06",25
386,"3209",1,"2020-08-06",0
397,"3210",1,"2020-08-06",8
408,"3211",1,"2020-08-06",0
419,"3212",1,"2020-08-06",0
430,"3213",1,"2020-08-06",0
441,"3214",1,"2020-08-06",0
452,"3215",1,"2020-08-06",0
463,"3216",1,"2020-08-06",12
474,"3217",1,"2020-08-06",0
485,"3218",1,"2020-08-06",0
496,"3271",1,"2020-08-06",0
507,"3272",1,"2020-08-06",20
518,"3273",1,"2020-08-06",0
529,"3274",1,"2020-08-06",1
540,"3275",1,"2020-08-06",37
551,"3276",1,"2020-08-06",15
562,"3277",1,"2020-08-06",0
573,"3278",1,"2020-08-06",0
584,"3279",1,"2020-08-06",0
483,"3217",10,"2020-08-06",0
472,"3216",10,"2020-08-06",3947
461,"3215",10,"2020-08-06",6
450,"3214",10,"2020-08-06",0
439,"3213",10,"2020-08-06",0
428,"3212",10,"2020-08-06",0
417,"3211",10,"2020-08-06",1041
406,"3210",10,"2020-08-06",0
395,"3209",10,"2020-08-06",2
384,"3208",10,"2020-08-06",1656
373,"3207",10,"2020-08-06",2075
